Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
65,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.0,EBOOK,10.0,WAIT LIST,6 months,27.0
66,The Rom-Commers,Katherine Center,4.3,EBOOK,10.0,WAIT LIST,6 months,27.0
67,Toxic Prey,John Sandford,4.2,EBOOK,15.0,AVAILABLE,No wait,0.0
68,The River We Remember,William Kent Krueger,4.1,EBOOK,12.0,WAIT LIST,4 weeks,4.0
69,This is Why We Lied,Karin Slaughter,4.0,EBOOK,11.0,WAIT LIST,6 months,27.0
70,Lady Tan's Circle of Women,Lisa See,4.3,EBOOK,14.0,WAIT LIST,7 weeks,7.0
71,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.3,EBOOK,12.0,WAIT LIST,6 months,27.0
72,Heart Bones,Colleen Hoover,4.2,EBOOK,10.0,WAIT LIST,2 weeks,2.0
73,Think Twice,Harlan Coben,4.0,EBOOK,10.0,WAIT LIST,24 weeks,24.0
74,Spare,"Prince Harry, The Duke of Sussex",3.7,EBOOK,5.0,WAIT LIST,6 weeks,6.0
75,In Too Deep,Lee Child,3.5,EBOOK,16.0,WAIT LIST,6 months,27.0
76,James,Percival Everett,4.1,EBOOK,14.0,WAIT LIST,6 months,27.0
77,Yours Truly,AbJimenez,4.3,EBOOK,16.0,WAIT LIST,13 weeks,13.0
78,Home Is Where the Bodies Are,Jeneva Rose,3.5,EBOOK,1.0,WAIT LIST,6 months,27.0
79,Yellowface,R. F. Kuang,3.7,EBOOK,1.0,WAIT LIST,6 months,27.0
80,The Handmaid's Tale,Margaret Atwood,4.0,EBOOK,30.0,WAIT LIST,2 weeks,2.0
81,Storm Watch,C. J. Box,4.1,EBOOK,1.0,WAIT LIST,6 months,27.0
82,Dead Fall,Brad Thor,3.9,EBOOK,15.0,AVAILABLE,No wait,0.0
83,Bride,Ali Hazelwood,4.2,EBOOK,12.0,WAIT LIST,10 weeks,10.0
84,The Perfect Couple,Elin Hilderbrand,3.8,EBOOK,25.0,WAIT LIST,19 weeks,19.0
85,The Last Flight,Julie Clark,4.0,EBOOK,14.0,WAIT LIST,2 weeks,2.0
86,The Bee Sting,Paul Murray,3.2,EBOOK,10.0,WAIT LIST,13 weeks,13.0
87,Safe Enough,Lee Child,2.9,EBOOK,10.0,WAIT LIST,6 months,27.0
88,A Good Girl's Guide to Murder,Holly Jackson,4.3,EBOOK,9.0,WAIT LIST,6 months,27.0
89,Someone Else's Shoes,Jojo Moyes,3.8,EBOOK,3.0,WAIT LIST,6 months,27.0
90,The Midnight Feast,Lucy Foley,3.5,EBOOK,13.0,WAIT LIST,6 months,27.0
91,The House of Wolves,James Patterson,3.8,EBOOK,14.0,AVAILABLE,No wait,0.0
92,The True Love Experiment,Christina Lauren,4.1,EBOOK,15.0,WAIT LIST,No wait,0.0
93,Project Hail Mary,Andy Weir,4.5,EBOOK,11.0,WAIT LIST,6 months,27.0
94,A Court of Mist and Fury,Sarah J. Maas,4.7,EBOOK,11.0,WAIT LIST,6 months,27.0
95,The Five-Star Weekend,Elin Hilderbrand,3.9,EBOOK,20.0,WAIT LIST,2 weeks,2.0
96,The Great Alone,Kristin Hannah,4.2,EBOOK,12.0,WAIT LIST,6 months,27.0
97,The Hike,Alison Farrell,3.3,EBOOK,1.0,AVAILABLE,No wait,0.0
98,Passions in Death,J. D. Robb,4.2,EBOOK,10.0,WAIT LIST,6 months,27.0
