Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
31,"Girl, Wash Your Face",Rachel Hollis,3.5,AUDIOBOOK,23.0,AVAILABLE,No wait,0.0
32,The Teacher,Freida McFadden,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
33,A Court of Wings and Ruin,Sarah J. Maas,4.4,AUDIOBOOK,4.0,WAIT LIST,6 months,27.0
34,Atomic Habits,James Clear,4.3,AUDIOBOOK,20.0,WAIT LIST,6 months,27.0
35,Crazy Rich Asians,Kevin Kwan,3.9,AUDIOBOOK,20.0,AVAILABLE,No wait,0.0
36,Becoming,Michelle Obama,4.2,AUDIOBOOK,30.0,WAIT LIST,2 weeks,2.0
37,Origin,Dan Brown,3.9,AUDIOBOOK,25.0,AVAILABLE,No wait,0.0
38,Camino Ghosts,John Grisham,3.5,AUDIOBOOK,10.0,WAIT LIST,24 weeks,24.0
39,Dirty Thirty,Janet Evanovich,4.0,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
40,Wool,Hugh Howey,3.9,AUDIOBOOK,,AVAILABLE,No wait,0.0
41,The New Jim Crow,Michelle Alexander,4.0,AUDIOBOOK,5.0,WAIT LIST,2 weeks,2.0
42,Listen for the Lie,Amy Tintera,3.8,AUDIOBOOK,15.0,WAIT LIST,6 months,27.0
43,Ready Player One,Ernest Cline,4.5,AUDIOBOOK,21.0,WAIT LIST,2 weeks,2.0
44,Long Road to Mercy,David Baldacci,3.9,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
45,Counting the Cost,Jill Duggar,3.5,AUDIOBOOK,10.0,AVAILABLE,No wait,0.0
46,The Wedding People,Alison Espach,3.7,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
47,The Frozen River,Ariel Lawhon,3.9,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
48,Where the Crawdads Sing,Delia Owens,4.3,AUDIOBOOK,20.0,AVAILABLE,No wait,0.0
49,Lights Out,Navessa Allen,3.2,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
50,The Idea of You,Robinne Lee,3.8,AUDIOBOOK,,AVAILABLE,No wait,0.0
51,A Wrinkle In Time,Madeleine L'Engle,4.0,AUDIOBOOK,18.0,WAIT LIST,2 weeks,2.0
52,Educated,Tara Westover,4.3,AUDIOBOOK,18.0,AVAILABLE,No wait,0.0
53,All the Light We Cannot See,Anthony Doerr,4.2,AUDIOBOOK,32.0,WAIT LIST,2 weeks,2.0
54,The Great Alone,Kristin Hannah,4.3,AUDIOBOOK,16.0,WAIT LIST,6 months,27.0
55,The Inmate,Freida McFadden,3.7,AUDIOBOOK,33.0,AVAILABLE,No wait,0.0
56,Happy Place,Emily Henry,3.7,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
57,The Midnight Feast,Lucy Foley,3.3,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
58,American Dirt (Oprah's Book Club),Jeanine Cummins,4.0,AUDIOBOOK,16.0,WAIT LIST,2 weeks,2.0
59,The Silent Patient,Alex Michaelides,4.0,AUDIOBOOK,18.0,WAIT LIST,21 weeks,21.0
60,Look Alive Twenty-Five,Janet Evanovich,4.0,AUDIOBOOK,17.0,AVAILABLE,No wait,0.0
61,The Midnight Line,Lee Child,4.0,AUDIOBOOK,22.0,AVAILABLE,No wait,0.0
62,Demon Copperhead,Barbara Kingsolver,4.0,AUDIOBOOK,10.0,WAIT LIST,20 weeks,20.0
63,The Fallen,David Baldacci,4.1,AUDIOBOOK,21.0,AVAILABLE,No wait,0.0
64,The Awakening,Susanne Valenti,3.1,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
65,The Subtle Art of Not Giving a F*ck,Mark Manson,3.7,AUDIOBOOK,25.0,WAIT LIST,2 weeks,2.0
66,Tom Lake,Ann Patchett,3.7,AUDIOBOOK,15.0,WAIT LIST,10 weeks,10.0
67,Do Not Disturb,Freida McFadden,3.7,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
68,Harry Potter and the Sorcerer's Stone,J. K. Rowling,4.7,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
69,The Coworker,Freida McFadden,3.5,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
70,The Heaven & Earth Grocery Store,James McBride,3.6,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
71,The Last Thing He Told Me,Laura Dave,3.9,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
72,The Ballad of Songbirds and Snakes,Suzanne Collins,4.0,AUDIOBOOK,15.0,WAIT LIST,13 weeks,13.0
73,The Old Man,Thomas Perry,3.9,AUDIOBOOK,3.0,WAIT LIST,5 weeks,5.0
74,The Invisible Life of Addie LaRue,V. E. Schwab,4.1,AUDIOBOOK,17.0,WAIT LIST,9 weeks,9.0
75,Nine Perfect Strangers,Liane Moriarty,3.6,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
76,Swan Song,Elin Hilderbrand,3.7,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
77,Bride,Ali Hazelwood,4.0,AUDIOBOOK,11.0,WAIT LIST,15 weeks,15.0
78,Lessons in Chemistry,Bonnie Garmus,4.2,AUDIOBOOK,17.0,WAIT LIST,6 months,27.0
79,The Dutch House,Ann Patchett,4.1,AUDIOBOOK,16.0,AVAILABLE,No wait,0.0
80,The Guest List,Lucy Foley,3.8,AUDIOBOOK,18.0,WAIT LIST,2 weeks,2.0
81,Before We Were Yours,Lisa Wingate,4.4,AUDIOBOOK,18.0,WAIT LIST,2 weeks,2.0
82,Fear,Bob Woodward,3.6,AUDIOBOOK,20.0,AVAILABLE,No wait,0.0
83,Redemption,David Baldacci,4.0,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
84,Simply Lies,David Baldacci,3.6,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
85,Pretty Girls,Karin Slaughter,4.0,AUDIOBOOK,,AVAILABLE,No wait,0.0
86,The Giver of Stars,Jojo Moyes,4.2,AUDIOBOOK,12.0,WAIT LIST,2 weeks,2.0
87,A Court of Frost and Starlight,Sarah J. Maas,4.0,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
88,The God of the Woods,Liz Moore,3.6,AUDIOBOOK,14.0,WAIT LIST,6 months,27.0
89,Safe Enough,Lee Child,2.9,AUDIOBOOK,1.0,WAIT LIST,24 weeks,24.0
90,We Used to Live Here,Marcus Kliewer,3.4,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
91,The Covenant of Water,Abraham Verghese,4.0,AUDIOBOOK,68.0,AVAILABLE,No wait,0.0
92,One by One,Freida McFadden,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
93,Fire and Fury,Michael Wolff,3.4,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
94,A Higher Loyalty,James Comey,3.8,AUDIOBOOK,16.0,AVAILABLE,No wait,0.0
95,Part of Your World,AbJimenez,4.4,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
96,The Rooster Bar,John Grisham,3.8,AUDIOBOOK,25.0,AVAILABLE,No wait,0.0
97,The Midnight Library,Matt Haig,4.0,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
98,Leather & Lark,Brynne Weaver,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
99,Twisted Games,Ana Huang,3.7,AUDIOBOOK,3.0,WAIT LIST,6 months,27.0
100,The Maid,Nita Prose,3.9,AUDIOBOOK,4.0,WAIT LIST,6 months,27.0
101,"House of Earth and Blood, Part 1",Sarah J. Maas,3.3,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
102,The Reckoning,John Grisham,3.6,AUDIOBOOK,17.0,WAIT LIST,2 weeks,2.0
103,You Are a Badass,Jen Sincero,3.9,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
104,Be Ready When the Luck Happens,Ina Garten,4.2,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
105,The Waiting,Michael Connelly,4.1,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
106,Daring Greatly,"Brene Brown PhD, LMSW",4.1,AUDIOBOOK,6.0,AVAILABLE,No wait,0.0
107,Just for the Summer,AbJimenez,4.2,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
108,"Fourth Wing, Part 1",Rebecca Yarros,4.4,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
109,Throne of Glass,Sarah J. Maas,4.1,AUDIOBOOK,13.0,WAIT LIST,6 months,27.0
110,Two Kinds of Truth,Michael Connelly,4.1,AUDIOBOOK,17.0,AVAILABLE,No wait,0.0
111,Divine Rivals,Rebecca Ross,4.0,AUDIOBOOK,10.0,WAIT LIST,18 weeks,18.0
112,The Exchange,John Grisham,3.2,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
113,The Lost Apothecary,Sarah Penner,3.7,AUDIOBOOK,6.0,WAIT LIST,3 weeks,3.0
114,Mad Honey,Jodi Picoult,3.8,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
115,Twisted Twenty-Six,Janet Evanovich,4.1,AUDIOBOOK,12.0,WAIT LIST,2 weeks,2.0
116,The Widow's Husband's Secret Lie,Freida McFadden,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
117,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.2,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
118,The Fix,David Baldacci,4.1,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
119,One True Loves,Taylor Jenkins Reid,4.0,AUDIOBOOK,3.0,WAIT LIST,24 weeks,24.0
120,Harry Potter and the Chamber of Secrets,J. K. Rowling,4.7,AUDIOBOOK,5.0,WAIT LIST,6 months,27.0
121,James,Percival Everett,3.8,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
122,One Perfect Couple,Ruth Ware,3.7,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
123,Ward D,Freida McFadden,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
124,The Wife Upstairs,Freida McFadden,3.9,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
125,The Perfect Marriage,Jeneva Rose,3.7,AUDIOBOOK,3.0,WAIT LIST,6 months,27.0
126,Little Fires Everywhere,Celeste Ng,4.0,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
127,Dark Sacred Night,Christine Lakin,4.1,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
128,Red Rising,Pierce Brown,4.1,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
129,"House of Sky and Breath, Part 1",Sarah J. Maas,3.4,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
130,The Hate U Give,Angie Thomas,4.5,AUDIOBOOK,10.0,AVAILABLE,No wait,0.0
131,The Woman in the Library,Sulari Gentill,3.1,AUDIOBOOK,1.0,WAIT LIST,2 weeks,2.0
132,The Thursday Murder Club,Richard Osman,3.7,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
133,Yellowface,R. F. Kuang,3.7,AUDIOBOOK,10.0,WAIT LIST,3 weeks,3.0
134,The Secret,Lee Child,3.7,AUDIOBOOK,7.0,WAIT LIST,4 weeks,4.0
135,The Fury,Alex Michaelides,3.0,AUDIOBOOK,9.0,WAIT LIST,4 weeks,4.0
136,The Small and the Mighty,Sharon McMahon,3.4,AUDIOBOOK,11.0,WAIT LIST,6 months,27.0
137,The Third Gilmore Girl,Kelly Bishop,4.0,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
138,Daisy Jones & the Six,Taylor Jenkins Reid,4.1,AUDIOBOOK,6.0,WAIT LIST,18 weeks,18.0
139,Oath and Honor,Liz Cheney,3.6,AUDIOBOOK,10.0,WAIT LIST,No wait,0.0
140,Greenlights,Matthew McConaughey,4.1,AUDIOBOOK,5.0,WAIT LIST,6 months,27.0
141,The Rose Code,Kate Quinn,4.2,AUDIOBOOK,11.0,WAIT LIST,3 weeks,3.0
142,A World of Curiosities,Louise Penny,4.1,AUDIOBOOK,13.0,AVAILABLE,No wait,0.0
143,End Game,David Baldacci,4.0,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
144,Good Energy,"Casey Means, MD",3.3,AUDIOBOOK,13.0,WAIT LIST,6 months,27.0
145,The Summer I Turned Pretty,Jenny Han,4.1,AUDIOBOOK,7.0,WAIT LIST,2 weeks,2.0
146,The Briar Club,Kate Quinn,3.9,AUDIOBOOK,9.0,WAIT LIST,6 months,27.0
147,Sandwich,Catherine Newman,3.2,AUDIOBOOK,6.0,WAIT LIST,6 months,27.0
148,The Last Widow,Karin Slaughter,4.0,AUDIOBOOK,4.0,WAIT LIST,2 weeks,2.0
149,Hang the Moon,Jeannette Walls,3.5,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
150,The Things We Leave Unfinished,Rebecca Yarros,3.8,AUDIOBOOK,,AVAILABLE,No wait,0.0
151,Then She Was Gone,Lisa Jewell,4.0,AUDIOBOOK,7.0,WAIT LIST,20 weeks,20.0
152,"Fourth Wing, Part 2",Rebecca Yarros,4.4,AUDIOBOOK,7.0,WAIT LIST,5 weeks,5.0
153,I'm Glad My Mom Died,Jennette McCurdy,4.4,AUDIOBOOK,4.0,WAIT LIST,6 months,27.0
154,Golden in Death,J. D. Robb,4.0,AUDIOBOOK,8.0,WAIT LIST,2 weeks,2.0
155,The Body Keeps the Score,"Bessel van der Kolk, M.D.",4.2,AUDIOBOOK,12.0,WAIT LIST,6 months,27.0
156,Blue Moon,Lee Child,4.0,AUDIOBOOK,16.0,AVAILABLE,No wait,0.0
157,The 23rd Midnight,James Patterson,4.0,AUDIOBOOK,12.0,AVAILABLE,No wait,0.0
158,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,3.7,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
159,The Paradise Problem,Christina Lauren,3.8,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
160,Camino Island,John Grisham,3.8,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
161,Adult Children of Emotionally Immature Parents,"Lindsay C. Gibson, PsyD",4.4,AUDIOBOOK,2.0,WAIT LIST,6 months,27.0
162,Never Too Late,Danielle Steel,3.1,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
163,Cold Mourning,Brenda Chapman,3.5,AUDIOBOOK,1.0,AVAILABLE,No wait,0.0
164,Mind Games,Nora Roberts,3.9,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
165,Mother-Daughter Murder Night,Nina Simon,3.5,AUDIOBOOK,9.0,WAIT LIST,2 weeks,2.0
166,From Here to the Great Unknown,Lisa Marie Presley,3.7,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
167,I'll Be Gone in the Dark,Michelle McNamara,4.0,AUDIOBOOK,12.0,WAIT LIST,2 weeks,2.0
168,Upside Down,Danielle Steel,3.7,AUDIOBOOK,1.0,WAIT LIST,4 weeks,4.0
169,Mile High,Liz Tomforde,3.4,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
170,The Witch Collector,Charissa Weaks,2.9,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
171,The Tattooist of Auschwitz,Heather Morris,4.4,AUDIOBOOK,14.0,WAIT LIST,2 weeks,2.0
172,"Funny, You Don't Look Autistic",Michael McCreary,3.8,AUDIOBOOK,1.0,WAIT LIST,2 weeks,2.0
173,The Maidens,Alex Michaelides,3.4,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
174,City of Girls,Elizabeth Gilbert,3.9,AUDIOBOOK,11.0,WAIT LIST,2 weeks,2.0
175,Better Off Dead,Lee Child,3.7,AUDIOBOOK,1.0,WAIT LIST,12 weeks,12.0
176,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,4.7,AUDIOBOOK,5.0,WAIT LIST,6 months,27.0
177,The Woman in the Window,A. J. Finn,3.6,AUDIOBOOK,13.0,AVAILABLE,No wait,0.0
178,The Power of Habit,Charles Duhigg,4.2,AUDIOBOOK,16.0,WAIT LIST,2 weeks,2.0
179,System Collapse,Martha Wells,4.0,AUDIOBOOK,1.0,WAIT LIST,22 weeks,22.0
180,Past Tense,Lee Child,4.0,AUDIOBOOK,15.0,AVAILABLE,No wait,0.0
181,Butcher & Blackbird,Brynne Weaver,3.8,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
182,The Last Murder at the End of the World,Stuart Turton,2.8,AUDIOBOOK,,AVAILABLE,No wait,0.0
183,The 17th Suspect,James Patterson,4.0,AUDIOBOOK,14.0,AVAILABLE,No wait,0.0
184,Three Wishes,Liane Moriarty,3.8,AUDIOBOOK,5.0,WAIT LIST,2 weeks,2.0
185,What Happened,Hillary Rodham Clinton,3.3,AUDIOBOOK,10.0,AVAILABLE,No wait,0.0
186,A Good Girl's Guide to Murder,Holly Jackson,4.1,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
187,Dare to Lead,Brené Brown,4.1,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
188,Outlander,Diana Gabaldon,4.1,AUDIOBOOK,4.0,WAIT LIST,24 weeks,24.0
189,The River We Remember,William Kent Krueger,3.8,AUDIOBOOK,8.0,WAIT LIST,3 weeks,3.0
190,Hardcore Twenty-Four,Janet Evanovich,4.0,AUDIOBOOK,18.0,AVAILABLE,No wait,0.0
191,When the Moon Hatched,Sarah A. Parker,3.0,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
192,Hooked,Emily McIntire,3.2,AUDIOBOOK,,AVAILABLE,No wait,0.0
193,Bits and Pieces,Whoopi Goldberg,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
194,Braiding Sweetgrass,Robin Wall Kimmerer,4.3,AUDIOBOOK,3.0,WAIT LIST,6 months,27.0
195,The Guardians,John Grisham,4.0,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
196,Book Lovers,Emily Henry,4.2,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
197,Shift,Hugh Howey,3.9,AUDIOBOOK,,AVAILABLE,No wait,0.0
198,Shadows Reel,C. J. Box,4.0,AUDIOBOOK,9.0,AVAILABLE,No wait,0.0
199,Ruthless Vows,Rebecca Ross,3.6,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
200,The Running Grave,Robert Galbraith,4.3,AUDIOBOOK,7.0,WAIT LIST,2 weeks,2.0
201,The Late Show,Michael Connelly,3.9,AUDIOBOOK,14.0,WAIT LIST,2 weeks,2.0
202,Beautiful Day,Elin Hilderbrand,3.8,AUDIOBOOK,5.0,WAIT LIST,2 weeks,2.0
203,Y is for Yesterday,Sue Grafton,3.9,AUDIOBOOK,14.0,AVAILABLE,No wait,0.0
204,The Very Secret Society of Irregular Witches,Sangu Mandanna,3.9,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
205,Revenge of the Tipping Point,Malcolm Gladwell,3.8,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
206,How to Win Friends and Influence People,Dale Carnegie,4.3,AUDIOBOOK,10.0,WAIT LIST,19 weeks,19.0
207,Twisted Hate,Ana Huang,3.7,AUDIOBOOK,2.0,WAIT LIST,25 weeks,25.0
208,In Too Deep,Lee Child,2.9,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
209,Enough,Cassidy Hutchinson,3.4,AUDIOBOOK,8.0,AVAILABLE,No wait,0.0
210,The Pumpkin Spice Café,Laurie Gilmore,3.2,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
211,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.1,AUDIOBOOK,14.0,WAIT LIST,2 weeks,2.0
212,The Fine Print,Lauren Asher,3.5,AUDIOBOOK,,AVAILABLE,No wait,0.0
213,The Good Sister,Sally Hepworth,4.1,AUDIOBOOK,8.0,WAIT LIST,2 weeks,2.0
214,The Girl Who Takes an Eye for an Eye,David Lagercrantz,3.9,AUDIOBOOK,8.0,AVAILABLE,No wait,0.0
215,Filthy Rich Fae,Geneva Lee,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
216,Open Book,Jessica Simpson,4.0,AUDIOBOOK,10.0,AVAILABLE,No wait,0.0
217,Killers of the Flower Moon,David Grann,3.8,AUDIOBOOK,6.0,WAIT LIST,6 weeks,6.0
218,The Five-Star Weekend,Elin Hilderbrand,3.8,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
219,It's Not Summer Without You,Jenny Han,4.1,AUDIOBOOK,3.0,WAIT LIST,4 weeks,4.0
220,The Whistler,John Grisham,3.8,AUDIOBOOK,18.0,WAIT LIST,2 weeks,2.0
221,Deep Freeze,John Sandford,4.0,AUDIOBOOK,9.0,AVAILABLE,No wait,0.0
222,Maybe in Another Life,Taylor Jenkins Reid,3.9,AUDIOBOOK,2.0,WAIT LIST,3 weeks,3.0
223,The Assassin's Blade,Sarah J. Maas,4.2,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
224,All the Dangerous Things,Stacy Willingham,3.8,AUDIOBOOK,12.0,WAIT LIST,2 weeks,2.0
225,"House of Sky and Breath, Part 2",Sarah J. Maas,3.3,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
226,Framed,John Grisham,3.5,AUDIOBOOK,8.0,WAIT LIST,6 months,27.0
227,Into the Water,Paula Hawkins,3.5,AUDIOBOOK,15.0,WAIT LIST,2 weeks,2.0
228,Resurrection Walk,Michael Connelly,4.2,AUDIOBOOK,8.0,WAIT LIST,2 weeks,2.0
229,The Diamond Eye,Kate Quinn,4.0,AUDIOBOOK,10.0,WAIT LIST,2 weeks,2.0
230,Being Henry,Henry Winkler,4.1,AUDIOBOOK,8.0,WAIT LIST,2 weeks,2.0
231,Harry Potter and the Order of the Phoenix,J. K. Rowling,4.7,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
232,A Game of Thrones,George R. R. Martin,4.4,AUDIOBOOK,31.0,WAIT LIST,4 weeks,4.0
233,Night School,Lee Child,3.9,AUDIOBOOK,18.0,AVAILABLE,No wait,0.0
234,Outlive,"Peter Attia, MD",3.9,AUDIOBOOK,10.0,WAIT LIST,6 months,27.0
235,Palazzo,Danielle Steel,3.5,AUDIOBOOK,1.0,WAIT LIST,4 weeks,4.0
236,The Order,Daniel Silva,3.5,AUDIOBOOK,8.0,AVAILABLE,No wait,0.0
237,The Only One Left,Riley Sager,3.7,AUDIOBOOK,7.0,WAIT LIST,6 months,27.0
238,The Berry Pickers,Amanda Peters,3.6,AUDIOBOOK,1.0,WAIT LIST,6 months,27.0
239,The Edge,David Baldacci,3.8,AUDIOBOOK,8.0,WAIT LIST,3 weeks,3.0
240,If You Would Have Told Me,John Stamos,3.7,AUDIOBOOK,8.0,WAIT LIST,2 weeks,2.0
